pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
-5.2890324566179965,0.42319718080649965,-0.43914686180677354,0.11622710019681935,-0.18583984918680996,-0.07736821719268878,-0.6129720971310559,0.28181399198854945,0.6642819442968535,0.39834543458919736
-5.293653494850354,0.7175730612158768,-0.95756137267645,-0.3020386101790696,-0.27497888098387413,0.7266838243990273,-0.2700814106429544,-0.2142282380893677,-0.9158595961983254,-0.1266282433537025
-5.284117321016189,0.40387284504352755,-0.40307189272300303,0.14212729438894453,-0.17830480845639693,-0.13809657409446802,-0.6382111876321996,0.31409055204532943,0.7989741125462757,0.4459375812983246
-5.2714962476124345,0.4763869887224508,-0.4900886084200208,0.0415739107562842,-0.17905311336141297,-0.045276223578324566,-0.6068991409189756,0.21499852361553443,0.8230156643918425,0.4763604829727302
-5.284726290256565,0.4209040402864815,-0.4339514917606626,0.10681806622796818,-0.18557445683515209,-0.08043961126666839,-0.6114104214566829,0.27932589029426996,0.6719917992610126,0.41420492830161093
-0.9646423500391794,-3.522793683811894,2.4552440352906975,0.6564720758636863,-0.052583456748641094,-0.2611546411666059,0.3638188151978852,0.0852258766580042,-0.07891267219242411,0.029069639094173864
-5.297481780312924,0.7153784107011119,-0.9504331136322353,-0.2961873866781651,-0.27328040255865077,0.7153281878201273,-0.2772157308369075,-0.2066315363604983,-0.8823089790232661,-0.11649150505436481
-5.294506403824749,0.7245166712660975,-0.9670378211511754,-0.3085839893517692,-0.27547394508589457,0.7375717722716258,-0.2667587296064731,-0.2223880737784693,-0.9221770838721786,-0.1301573427168258
-0.26543967971997917,-3.524424213686139,2.005373372234112,0.29043512566647706,0.008827708374773436,-0.31107226328726306,0.3852471554860962,0.3716871813222959,0.07883201926002949,0.10914147121890619
-0.9561405757013606,-3.602212865730161,2.588475040619649,0.7500261390612576,-0.03957475867786588,-0.4336663563949426,0.31141218690427835,0.12818309247102921,0.17700354380990785,0.11902859053094557
-0.19566648565287512,-3.8341403024807708,2.4451331493646555,0.5450729017057045,-0.010964802385495362,-0.6286906891167818,0.36754313809696787,0.18922197654657044,-0.16950884351116477,0.10129714415153357
-0.2419285383188762,-3.8419417626535757,2.4803595261056097,0.5966355375013541,-0.008416015088345954,-0.6917491925852898,0.32934467512258336,0.19314875650276384,-0.08078525497749257,0.09664117544313675
-0.9596710782365441,-3.5408434568773197,2.4861020707435824,0.6783825854123949,-0.047078324415235115,-0.31017823320715493,0.3447456245238436,0.11231812455208263,0.017434830635086315,0.06444366074446961
-5.280654926677469,0.6587187618002991,-0.8551697674641563,-0.22831555530641529,-0.25675684121951464,0.5643815894938019,-0.33448405281640387,-0.12284010097195688,-0.5945155863291137,-0.010315848927602017
-5.298146010376784,0.7193715820087955,-0.9560968953306233,-0.3003409900172265,-0.2737321848325053,0.7226222884934582,-0.27497700561362276,-0.21165309187216547,-0.8893790600651574,-0.11966556326063862
-5.091077759436841,0.6947650665857985,-1.0273123046018982,-0.359442848915644,-0.23789537427108187,0.5758170792692153,-0.43803417163235264,0.38055723939491776,-0.7244309909866898,-0.01003848258220647
0.5054948399287945,-3.94435225237243,2.1748513688392594,0.32638878500241686,0.028225575789970453,-0.8060277333102998,0.377575177633349,0.2961243933021153,-0.2908881203047308,0.027307559793365264
-5.283709974235716,0.3902131823193011,-0.38090902429208195,0.1575154201894706,-0.17556837895397714,-0.1678959393035931,-0.650330406692381,0.3337172595071736,0.8452087470606606,0.46327363213694417
-5.292962442268386,0.40813075175677,-0.40696976041456145,0.12683855839272304,-0.18119440013608956,-0.11758087775118814,-0.6316739512166596,0.30551393092244017,0.753825644512785,0.44056357050673106
-5.288345330643581,0.42031702832783596,-0.4311795379379719,0.10916182888173152,-0.18516513391433634,-0.08324534500689824,-0.614381039220494,0.28261351550334296,0.6810763005477404,0.41631477719284044
-0.9754956778594641,-3.5402447030830864,2.48717604497755,0.6763560068380162,-0.056717055899899255,-0.2745153878655748,0.37118630293454974,0.03874185271895403,-0.11667849993983537,0.011768159185089994
-4.248802094331585,5.422180018962347,2.9361820581930007,0.905581375229187,-0.4776737420612031,-0.3222076480447823,0.25822870274808035,0.42114902290615835,1.0588067090853217,-0.6687627410964903
-5.304492436931407,0.7238918738938517,-0.962654567821862,-0.3050522074835789,-0.2755086034477597,0.7372200965522121,-0.2714987558826017,-0.2167359794661255,-0.9196437777968995,-0.13169617355752575
-5.283854677287877,0.39700585434164387,-0.3974970642883503,0.14645932527921687,-0.17953435014264738,-0.1393157374866923,-0.634863790392433,0.31978436433990987,0.7735801045613557,0.4404104367478791
-0.9828789637773994,-3.531817416944548,2.4665429991442607,0.6590371722408385,-0.06868231702376461,-0.21252166261152472,0.40596469561228776,-0.026762838479267224,-0.3136240122722666,-0.058488563499145114
-5.282754019760076,0.4398508838723227,-0.46225901060580676,0.08427281460074516,-0.18794248363291796,-0.04591930503487924,-0.5976886401267513,0.25243812132041726,0.6347362296440998,0.40144375951416467
-4.838950310972546,2.7743163388736636,1.2687050644357496,0.4880711913617141,-0.3131910178000126,-0.33254774407735477,0.14306684658635138,0.07675169739721754,1.0443939639084343,-0.5160866010344568
-0.9764524012226461,-3.5435347345079737,2.491766662950509,0.679779538294997,-0.05670092865242839,-0.2787361740045146,0.3696287846575837,0.04301951506563473,-0.11720209436474,0.011953897006503256
-0.9365567314351673,-3.5378713625909426,2.4526478443564024,0.6302309944475478,-0.06320715633448953,-0.19774625840287027,0.41504075037106775,0.04100172869759115,-0.2844392012910106,-0.013862364268764643
-4.898903690229953,5.9609688763014805,3.3983054764226974,1.654404923554875,19.911934538940354,0.13422862222723708,0.23512630014970048,-0.11073501305493175,-0.08629244462227958,-0.1465768970978256
-5.281912254156316,0.4160323339856365,-0.42190708325711157,0.11322124126825305,-0.18213267901966257,-0.10370642379394296,-0.6214579450836977,0.2888428175109568,0.7362205836090004,0.4383626885321238
-4.245244752439627,5.409092799025022,2.957917020363896,0.920935322617762,-0.4740857529842983,-0.35583316441836554,0.2454563457818757,0.44020346778877917,1.1208627753594713,-0.645726798292847
-5.097549967298679,0.7025463626814059,-1.035921028053472,-0.36482724152244456,-0.23844180034365975,0.5878514812521441,-0.4368176237926535,0.37435287251332233,-0.729071355621393,-0.014564455561897177
-5.29943678769054,0.7283837328208213,-0.9697202085584032,-0.3092428729653718,-0.275161833067941,0.7400454607037471,-0.26838760505467724,-0.22318302849918908,-0.9117389577934714,-0.12874887709895325
-4.852092161892368,2.772432658715696,1.2837905142458557,0.5014593263943032,-0.30858715736833997,-0.35859398713463153,0.12389042435003368,0.09437280426477468,1.138356857236579,-0.4890882121832976
0.5103140829377706,-3.9575078269990462,2.1985152022220955,0.34324423974976204,0.03315805888293944,-0.8462913922796499,0.36155775514735566,0.31695359226365577,-0.2038232491884435,0.05846695145250807
-5.4563918520478865,-0.033276947540525896,-0.4677536579138751,0.06593954950182977,-0.1378380691216704,-0.38437675502880964,0.0030030832445570735,-0.27994242461648416,1.1305346071014022,-0.2985537253584864
-5.259373034095423,0.4621133269693409,-0.4755672625315447,0.04941797926170261,-0.178763125603081,-0.06290352956304597,-0.6072926711583511,0.2244375636552329,0.8164311362623071,0.47988296910919015
-5.273157045703462,0.658299716333214,-0.8587014174506767,-0.23180520400861226,-0.25754721405203934,0.568075039040279,-0.3290827640490896,-0.12782163750015435,-0.6131244060607316,-0.014318398158206186
-0.9734116334195655,-3.5463271426364886,2.498561681277321,0.6844876447569245,-0.054211623217219784,-0.2942366413351742,0.36309099932447614,0.048836183231349695,-0.07204355838937372,0.027548218049521837
-5.295697272765846,0.7134033758778502,-0.9483677420958869,-0.29556856149039495,-0.2731999451038595,0.7131582355096485,-0.27746539275415555,-0.2055889414032171,-0.8831640923437811,-0.11598665104413777
-0.968140516262342,-3.4968925405619733,2.4122666207275505,0.625858465875898,-0.05894184486291894,-0.19834148873534496,0.388715411029934,0.04698504672835646,-0.18848459947486043,-0.011215117345155462
-5.275611734101779,0.40943943001377553,-0.4094916360013917,0.12143963492612472,-0.17854189352677974,-0.1289722852566994,-0.6309378116845012,0.29897389788588963,0.799264020504397,0.4611260673338179
-0.9668838541057074,-3.5330726774200056,2.4755531134647097,0.6714649595142875,-0.0489364610313406,-0.291736203566123,0.34918111434220533,0.10432143872904816,-0.012345366878459357,0.051503334208197436
-4.834630015852906,2.754356303002918,1.3036008494501818,0.5128437684092727,-0.3069416433159839,-0.3875934793336385,0.12089531582440978,0.1077100183042503,1.154248545746348,-0.47640407041716765
-2.1532290344632425,-2.3137386186279603,2.2318459449577714,0.6369030258300876,-0.16416139530697496,0.8893435618580847,-0.3670575879196319,0.7829782260291415,-0.4406614305941494,0.6439357212567078
-5.290601023794427,0.7076614822005596,-0.9392177882720378,-0.28792150417541545,-0.2710663381740952,0.6943952880550331,-0.2826627324110596,-0.19732395019984422,-0.8447542716705516,-0.10139541082713147
-5.091640879251855,0.692356822012491,-1.0202389605395166,-0.3541857773497638,-0.2357122995179077,0.5621753383972411,-0.4452027447899672,0.3873412647027397,-0.6834484745682448,0.003275535131445234
-0.24343128960621976,-3.771674843625818,2.361031014851228,0.508487527450947,-0.019513724760005423,-0.5392058887360148,0.3766610303941853,0.1560283293406163,-0.30487341013579067,0.022574026482833985
-5.27389000997174,0.6574137470274823,-0.8573247054159673,-0.23061925953434592,-0.25755873361307535,0.5668835871123893,-0.32963489768714066,-0.126375366417591,-0.6131831003740337,-0.014339017446931284
-4.84597382876999,2.7638507566029005,1.2951162765382869,0.5085933297198425,-0.3071468120469955,-0.3757202271508643,0.119669005782862,0.10305211993439523,1.159513622401396,-0.47927511089806335
