timestamp,hostname,endpoint_id,os_type,pid,ppid,process_name,cmd,cpu_percent,memory,risk_score,risk_level
2025-05-09T23:10:01.788277,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,557,-1,PAH_Extension,"/System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages (""en-US"")",0.0,15433728,0.0,low
2025-05-09T23:10:01.789636,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,559,-1,UIKitSystem,/System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start,0.0,17645568,0.0,low
2025-05-09T23:10:01.791024,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,560,-1,familycircled,/System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled,0.0,22691840,0.0,low
2025-05-09T23:10:01.792365,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,561,-1,com.apple.WebKit.WebContent,/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent,0.0,207716352,0.0,low
2025-05-09T23:10:01.793727,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,565,-1,com.apple.WebKit.GPU,/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU,0.1,262914048,0.0,low
2025-05-09T23:10:01.795294,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,566,-1,com.apple.audio.SandboxHelper,/System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper,0.0,3457024,0.0,low
2025-05-09T23:10:01.796691,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,568,-1,StatusKitAgent,/System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent,0.0,21954560,0.0,low
2025-05-09T23:10:01.797988,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,569,-1,useractivityd,/System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd,0.0,9125888,0.0,low
2025-05-09T23:10:01.799342,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,572,-1,com.apple.dock.extra,/System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra,0.0,27181056,0.0,low
2025-05-09T23:10:01.800610,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,577,-1,imagent,/System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent,0.0,40730624,0.0,low
2025-05-09T23:10:01.802065,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,583,-1,seserviced,/usr/libexec/seserviced,0.0,4456448,0.0,low
2025-05-09T23:10:01.803690,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,586,-1,corespeechd,/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,0.0,13008896,0.0,low
2025-05-09T23:10:01.805213,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,589,-1,mediaremoteagent,/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent,0.0,6209536,0.0,low
2025-05-09T23:10:01.806665,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,599,-1,avconferenced,/usr/libexec/avconferenced,0.0,27492352,0.0,low
2025-05-09T23:10:01.808172,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,603,-1,passd,/System/Library/PrivateFrameworks/PassKitCore.framework/passd,0.0,13713408,0.0,low
2025-05-09T23:10:01.809744,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,615,-1,CursorUIViewService,/System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService,0.0,41467904,0.0,low
2025-05-09T23:10:01.811232,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,619,-1,multipass.gui,multipass.gui --autostarting,0.0,44810240,0.0,low
2025-05-09T23:10:01.812598,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,621,-1,icdd,/System/Library/Image Capture/Support/icdd,0.0,4947968,0.0,low
2025-05-09T23:10:01.813993,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,622,-1,ollama,/opt/homebrew/opt/ollama/bin/ollama serve,0.0,17416192,0.0,low
